description,poster,rating,title,votes
A love story between a snake spirit and a snake hunter.,"https://m.media-amazon.com/images/M/MV5BYTE2ZGQ0NjctMzRlMy00NmI1LWFhNTUtYTAyNGNmMTk2Njg1XkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_QL75_UY281_CR6,0,190,281_.jpg",7.1,Bai She: Yuan qi,3.2K
Two men meet on a beach in Okinawa and are romantically attracted to each other.,"https://m.media-amazon.com/images/M/MV5BZDc2YWRlZDYtMzg5Yy00ZDE5LTg2NjUtOWFkMTdlYWQyODE2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.3,Umibe no Étranger,779
"Three kids, Max, Neil and Nikki, spent the summer vacation at a dysfunctional campsite called 'Camp Campbell' which is currently in the hands the camp counselors, the overly cheerful David and the less optimistic Gwen.","https://m.media-amazon.com/images/M/MV5BZTM4MjM0ZTQtMzA2OC00YThjLWI0OWEtZTkyMmNhZDIwODMyXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg",8.0,Camp Camp,1.1K
A single dad has his hands full raising six rambunctious chipmunks in this animated comedy.,"https://m.media-amazon.com/images/M/MV5BNmIxMjJkMjAtMDYyOC00YTgyLThjODAtZjEyYmYzYzc2NzE4XkEyXkFqcGdeQXVyMjU1NzIyMg@@._V1_QL75_UX190_CR0,2,190,281_.jpg",4.5,Alvinnn!!! And the Chipmunks,1.3K
"Uniqua, Pablo, Tyrone, Tasha, and Austin are a group of young friends who get together to play in the backyard they share. Each day, their imaginations transform that backyard into a different photo-realistic landscape.","https://m.media-amazon.com/images/M/MV5BMTYzN2VmNzAtYzExYS00ODVhLTk5MGUtYmEwZTYzZmFhYWM4XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.0,The Backyardigans,2.8K
A boy and his beloved imaginary friend are able to stay together at an orphanage of sorts for imaginary friends that children have outgrown to be adopted by new children.,"https://m.media-amazon.com/images/M/MV5BNjYyNGFjOTctYzFmNC00NzdmLThhMDgtNjEzZTRmNzA3ODc5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.6,Foster's Home for Imaginary Friends,21K
"This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him.","https://m.media-amazon.com/images/M/MV5BNzQ0YzYyMmItYjE2Ni00OTkzLTlhMTgtYjRjZDU2MjA1NTYyXkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_QL75_UY281_CR1,0,190,281_.jpg",6.6,Hercules,10K
"What if baby Kal-El's rocket landed, not in Kansas, but in the Soviet Union? That is the premise of this Elseworld's tale from DC Comics.","https://m.media-amazon.com/images/M/MV5BMDg3NDc5YzEtOTk1My00ZTZhLTlmNjctZTJlNjYzZjE0MTI1XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.4,Superman: Red Son,13K
"Houtarou is usually quite apathetic, however when his sister forces him to join the classic literature club at Kamiyama High School, his worldview begins to change. Once there, he discovers some information regarding an incident surrounding one of the members' uncle. Together with Eru Chitanda, an always-curious girl, this unassertive boy delves deeper into this myste...","https://m.media-amazon.com/images/M/MV5BMTcwNjUwNDctNzI5Ni00MDg1LWE0YTEtODRhYTMxZTA5OGRjXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.8,Hyouka,4K
"Inspired by Mark Twain's fascinating novel, Princess Anneliese finds an unexpected friendship when she meets her humble look-alike, Erika. Will the Princess and the Pauper thwart the plans of the Queen's scheming advisor, Preminger?","https://m.media-amazon.com/images/M/MV5BMGY5MzU3MzItNDBjMC00YjQzLWEzMTUtMGMxMTEzYjhkMGNkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_QL75_UY281_CR2,0,190,281_.jpg",6.9,Barbie as the Princess and the Pauper,5.9K
